file_name,uid,rec_id,ann_nz_cnt,intervals_cnt,cnt_match,cnt_diff,intervals
1001_6.npy,60a917b354352a3df86dc1f2,638d8f609e4d4309eebbb0f1,1,1,True,0,"[{""startTime"": 601.0, ""endTime"": 602.5}]"
1001_8.npy,60a917b354352a3df86dc1f2,638d8f5d9e4d43301ebbb0df,1,1,True,0,"[{""startTime"": 532.0, ""endTime"": 535.0}]"
1004_0.npy,613b1c013d08d44862cdc8f2,613f59083d08d46e7acdce29,6,6,True,0,"[{""startTime"": 0.0, ""endTime"": 2.0}, {""startTime"": 12.0, ""endTime"": 19.0}, {""startTime"": 120.0, ""endTime"": 124.0}, {""startTime"": 490.0, ""endTime"": 508.0}, {""startTime"": 550.0, ""endTime"": 554.0}, {""startTime"": 590.0, ""endTime"": 598.0}]"
1005_0.npy,613b1c6f3d08d4370acdc8f3,613f56f73d08d4485dcdcb87,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 0.5}]"
1005_4.npy,613b1c6f3d08d4370acdc8f3,613f56f73d08d4bc97cdcb8a,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 2.0}]"
1006_1.npy,613b1c9c3d08d43181cdc8f4,613f59533d08d413facdcebb,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 2.0}]"
1007_1.npy,613b1cc33d08d4c0d5cdc8f5,613b221f3d08d453a1cdc914,2,2,True,0,"[{""startTime"": 0.0, ""endTime"": 1.5}, {""startTime"": 155.0, ""endTime"": 159.5}]"
1008_0.npy,613b1d0c3d08d413ffcdc8f6,613f58593d08d4cec1cdccf1,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 0.5}]"
1008_12.npy,613b1d0c3d08d413ffcdc8f6,613f58593d08d461c8cdcce8,5,5,True,0,"[{""startTime"": 149.5, ""endTime"": 151.0}, {""startTime"": 471.0, ""endTime"": 484.5}, {""startTime"": 494.0, ""endTime"": 501.0}, {""startTime"": 505.0, ""endTime"": 517.0}, {""startTime"": 545.0, ""endTime"": 550.0}]"
1009_12.npy,613b1d673d08d4d1f3cdc8f8,613b22d43d08d443f5cdc98e,2,2,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}, {""startTime"": 267.0, ""endTime"": 310.0}]"
1009_13.npy,613b1d673d08d4d1f3cdc8f8,613b22d43d08d43f31cdc98d,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}]"
1010_0.npy,613b1d903d08d4df57cdc8f9,613f58b73d08d439a0cdcda2,3,3,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}, {""startTime"": 64.0, ""endTime"": 68.0}, {""startTime"": 70.5, ""endTime"": 73.5}]"
1011_0.npy,613b1db23d08d4ea68cdc8fa,613f59b33d08d46608cdcf38,1,1,True,0,"[{""startTime"": 173.0, ""endTime"": 179.0}]"
1011_1.npy,613b1db23d08d4ea68cdc8fa,613f59b33d08d40c95cdcf25,6,6,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}, {""startTime"": 380.0, ""endTime"": 394.0}, {""startTime"": 406.0, ""endTime"": 407.0}, {""startTime"": 448.0, ""endTime"": 465.0}, {""startTime"": 529.0, ""endTime"": 534.0}, {""startTime"": 626.0, ""endTime"": 634.0}]"
1013_13.npy,6144c4fbbd0cc552e427535f,6144cd8bbd0cc524f92753b3,3,3,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}, {""startTime"": 460.5, ""endTime"": 465.0}, {""startTime"": 618.0, ""endTime"": 627.0}]"
1013_14.npy,6144c4fbbd0cc552e427535f,6144cd8bbd0cc5b5c3275399,1,1,True,0,"[{""startTime"": 629.0, ""endTime"": 639.0}]"
1015_0.npy,6144c588bd0cc52ba0275362,6145b1a6bd0cc52da6275905,4,4,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}, {""startTime"": 335.0, ""endTime"": 338.0}, {""startTime"": 424.0, ""endTime"": 426.0}, {""startTime"": 481.5, ""endTime"": 486.0}]"
1015_17.npy,6144c588bd0cc52ba0275362,6145b1a6bd0cc582a4275926,1,1,True,0,"[{""startTime"": 0.0, ""endTime"": 1.0}]"
