0,1
1626330.744,
1626924.927,
1626934.963,
1626941.468,
1630673.825,
1630693.635,
1630757.303,
1630757.924,
1630758.549,
1630759.170,
1630761.032,
1630762.273,
1630762.894,
1630763.516,
1630764.137,
1630768.486,
1630770.348,
1630771.589,
1630777.178,
1630844.567,
1630845.187,
1630846.425,
1630922.972,
1630923.598,
1630924.224,
1630924.849,
1630925.473,
1630926.102,
1630926.726,
1630927.980,
1630928.606,
1630930.480,
1630931.105,
1630931.730,
1630932.359,
1630932.984,
1630936.742,
1630940.501,
1630941.126,
1630941.751,
1630943.629,
1630944.253,
1630949.261,
1630951.771,
1630957.402,
1630958.030,
1630958.655,
1630959.280,
1630959.909,
1630960.534,
1630961.159,
1630961.788,
1630962.413,
1630963.038,
1630964.293,
1630964.918,
1630969.301,
1630969.930,
1630981.205,
1630981.830,
1630986.207,
1631003.727,
1631009.364,
1631009.724,
1631010.352,
1631011.609,
1631012.235,
1631012.861,
1631015.999,
1631028.536,
1631055.852,
1631056.479,
1631057.107,
1631057.738,
1631070.474,
1631079.236,
1631082.981,
1631086.728,
1631087.981,
1631089.859,
1631090.342,
1631091.114,
1631093.618,
1631094.243,
1631094.872,
1631139.883,
1631702.918,
1631727.631,
1631734.441,
1632394.636,
1632396.522,
1632398.405,
1632469.959,
1632470.586,
1632471.213,
1632923.661,
1717637.692,
1717692.548,
1731438.420,
1742295.469,
1744875.093,
1744875.328,
1744875.951,
1744876.572,
1744877.194,
